'13159'  ,  KOLKATA JBN EXP
'58013'  ,  HWH BKSC PASS  
'22905'  ,  OKHA HOWRAH EXP
'12124'  ,  DECCAN QUEEN   
'12471'  ,  SWARAJ EXPRESS 
'06065'  ,  MAS ERS EXP    
'12711'  ,  PINAKINI EXP   
'16202'  ,  SMET SBC EXP   
'13256'  ,  CDG  PPTA EXP  
'16569'  ,  YPR KCG EXP    
'12111'  ,  CSTM AMRAVATI E
'12466'  ,  INTERCITY EXP  
'18242'  ,  ABKP DURG PAS E
'07717'  ,  PUSHKARAM SPL  
'08401'  ,  PURI SRC SPL   
'12217'  ,  SAMPARK KRANTHI
'14713'  ,  SGNR JAT EXP   
'18628'  ,  RNC HWH INT EXP
'12334'  ,  VIBHUTI EXPRESS
'22942'  ,  JAT INDB SF EXP
'12946'  ,  SURAT EXPRESS  
'12474'  ,  SARVODAYA EXP  
'16612'  ,  CBE TN LINK EXP
'16606'  ,  ERNAD EXPRESS  
'56700'  ,  PUNALUR PASS   
'54806'  ,  JP ADI PASSNGER
'12547'  ,  AF ADI SF EXP  
'18603'  ,  RNC BGP EXPRESS
'12672'  ,  NILAGIRI EXP   
'16178'  ,  ROCKFORT EXPRES
'14865'  ,  MARUDHAR EXPRES
'04413'  ,  DEE SVDK SPL   
'28624'  ,  BARKA RJPB EXP 
'12264'  ,  PUNE DURONTO EX
'18215'  ,  DURG JAT EXPRES
'59076'  ,  BSL ST BCT PASS
'12863'  ,  HWH YPR EXPRESS
'22686'  ,  YPR S KRANTI EX
'14520'  ,  KISAN EXPRESS  
'13240'  ,  KOTA PNBE EXP  
'55601'  ,  KYQ LMG PASS   
'59440'  ,  AHMADABAD PASS 
'12411'  ,  INTERCITY EXP  
'14853'  ,  MARUDHAR EXPRES
'18107'  ,  ROU KRPU EXPRES
'16860'  ,  MAQ CHENNAI EXP
'15015'  ,  GKP YPR EXPRESS
'57652'  ,  RAL SC PASSENGE
'17240'  ,  SIMHADRI EXPRES
'12117'  ,  LTT MANMAD EXP 
'57274'  ,  TPTY UBL PASS  
'19054'  ,  MFP ST EXPRESS 
'16518'  ,  BANGALORE EXP  
'19062'  ,  RMR BDTS EXP   
'22853'  ,  SHM VSKP SF EXP
'13105'  ,  SDAH BUI EXPRES
'14673'  ,  SHAHEED EXPRESS
'58702'  ,  ABKP SDL PASS  
'12710'  ,  SIMHAPURI EXP  
'17301'  ,  MYS DHARWAD EXP
'13118'  ,  LGL KOAA EXPRES
'22688'  ,  CDG MDU SF EXP 
'22611'  ,  MAS NJP EXPRESS
'12866'  ,  LALMATI EXPRESS
'12868'  ,  PDY HOWRAH EXP 
'17305'  ,  NZM LINK EXP   
'09607'  ,  NDT UDZ SPL    
'12042'  ,  NJP HWH SHATABD
'22482'  ,  DEE JU SUP     
'19251'  ,  SMNH OKHA EXP  
'13019'  ,  BAGH EXPRESS   
'14014'  ,  SULTANPUR EXP  
'12747'  ,  PALNADU EXP    
'16183'  ,  UZHAVAN EXPRESS
'19030'  ,  DEE BDTS EXP   
'19223'  ,  ADI JAT EXPRESS
'12958'  ,  ADI SJ RAJDHANI
'14008'  ,  SADHBHAWNA EXP 
'06063'  ,  TIRUNELVELI EXP
'17488'  ,  TIRUMALA EXPRES
'12924'  ,  NGP INDORE EXP 
'12115'  ,  SIDDHESHWAR EXP
'11031'  ,  SUR BIJAPUR EXP
'12879'  ,  LTT BBS SUP EXP
'22846'  ,  HTE PUNE EXP   
'18048'  ,  VSG HOWRAH EXP 
'11014'  ,  LOKMANYA TT EXP
'13027'  ,  KAVI GURU EXP  
'56503'  ,  VIJAYAWADA PASS
'16312'  ,  BIKANER EXPRESS
'04928'  ,  CDG BSB SPECIAL
'12326'  ,  NLDM KOAA EXP  
'11098'  ,  POORNA EXPRESS 
'12978'  ,  MARU SAGAR EXP 
'18645'  ,  EAST COAST EXP 
'06335'  ,  GHY KCVL SPECIA
'12109'  ,  PANCHAVATI EXP 
'12241'  ,  CDG ASR SUP    
'12661'  ,  POTHIGAI  EXP  
'17302'  ,  DWR MYSORE EXP 
'22865'  ,  LTT PURI SUP EX
'07712'  ,  PUSHKARAM SPL  
'17639'  ,  KCG AK EXP     
'12211'  ,  ANVT GARIB RATH
'00851'  ,  BNC SUVIDHA SPL
'18573'  ,  VSKP BGKT EXP  
'07708'  ,  PUSHKARAM SPL  
'12581'  ,  MUV NDLS S F EX
'54802'  ,  AII JU FAST PAS
'12064'  ,  UHL HW LINK JSH
'13302'  ,  SUBARNAREKHA EX
'16128'  ,  GUV CHENNAI EXP
'12329'  ,  W B SMPRK KRNTI
'15280'  ,  POORABIYA EXP  
'16573'  ,  PUDUCHERRY EXP 
'16346'  ,  NETRAVATHI EXP 
'15651'  ,  LOHIT EXPRESS  
'13287'  ,  SOUTH BIHAR EXP
'11097'  ,  POORNA EXPRESS 
'12731'  ,  TPTY SC EXP    
'12607'  ,  LALBAGH EXPRESS
'84369'  ,  TRIBENI EXPRESS
'12482'  ,  INTERCITY EXP  
'13404'  ,  VANANCHAL EXP  
'17232'  ,  NSL NS EXP     
'57477'  ,  TPTY GTL PASS  
'19612'  ,  ASR AJMER EXP  
'05817'  ,  APDJ DBB SPECIA
'22646'  ,  AHILYANAGARI EX
'22826'  ,  MAS SHM EXP    
'14042'  ,  MUSSOORIE EXP  
'17429'  ,  RAYALASEEMA EXP
'12689'  ,  NAGERCOIL EXP  
'22909'  ,  BL  PURI S F EX
'13063'  ,  HWH BLGT EXP   
'12104'  ,  LJN PUNE EXP   
'53050'  ,  MKA HWH  PASS  
'12720'  ,  HYB AII SUP EXP
'17406'  ,  KRISHNA EXP    
'14626'  ,  DEE INTERCITY  
'12131'  ,  DR SAINAGAR EXP
'13234'  ,  RAJGRIHA EXPRES
'56641'  ,  MAO MAQ PASS   
'18646'  ,  EAST COAST EXP 
'22825'  ,  SHM MAS SF EXP 
'22996'  ,  AII BDTS SF EXP
'22443'  ,  CNB BDTS SF    
'12410'  ,  GONDWANA EXPRES
'22679'  ,  SVDK PREMIUM EX
'13133'  ,  SDAH BSB EXP   
'18448'  ,  HIRAKHAND EXP  
'16617'  ,  COIMBATORE EXP 
'54701'  ,  BTI LGH PASNGER
'19323'  ,  INTERCITY EXP  
'12738'  ,  GOUTAMI EXP    
'14154'  ,  ASR CNB EXPRESS
'15307'  ,  NAINITAL EXP   
'12263'  ,  NZM DURONTO EXP
'16516'  ,  KAWR YPR EXPRES
'19005'  ,  SAURASHTRA MAIL
'11033'  ,  DARBHANGA EXP  
'18105'  ,  ROU BBS INT EXP
'12311'  ,  HWH DLI KLK MAI
'14007'  ,  SADBHAWNA EXP  
'12333'  ,  VIBHUTI EXPRESS
'11089'  ,  BGKTPUNE EXPRES
'22832'  ,  HOWRAH EXP     
'02510'  ,  KYQ BNC SUVIDHA
'12198'  ,  BPL INTERCITY  
'16022'  ,  KAVERI EXPRESS 
'12876'  ,  NEELACHAL EXP  
'22207'  ,  SUPER AC EXP   
'12155'  ,  BHOPAL  EXPRESS
'19308'  ,  CDG  INDB  EXP 
'12445'  ,  UTTAR S KRANTI 
'16565'  ,  MANGALOREEXP   
'12396'  ,  ZIYARAT EXPRESS
'58871'  ,  BTC JBP PASS   
'12907'  ,  BDTS SMPRK K EX
'12532'  ,  GKP INTERCITY  
'12658'  ,  CHENNAI MAIL   
'12005'  ,  KALKA SHTBDI   
'15648'  ,  GHY LTT EXPRESS
'14511'  ,  NAUCHANDI EXP  
'12768'  ,  NED  WKLY  EXP 
'12566'  ,  BIHAR S KRANTI 
'12457'  ,  DEE BKN  S F EX
'12446'  ,  UTTAR S KRANTI 
'12951'  ,  MUMBAI RAJDHANI
'12536'  ,  LJN GARIBRATH  
'11403'  ,  NGP KOP EXPRESS
'13347'  ,  PALAMOU EXPRESS
'19422'  ,  PNBE ADI EXP   
'07723'  ,  PUSHKARAM SPL  
'17623'  ,  NED BKN EXP    
'01149'  ,  BSL CSN T F SPL
'12825'  ,  JHRKHND S KRANT
'12533'  ,  PUSHPAK EXP    
'58113'  ,  TATA BSP PASS  
'13008'  ,  U A TOOFAN EXP 
'15712'  ,  KIR HWH EXPRESS
'12501'  ,  PORVOTR S KRNTI
'08246'  ,  BKN BSP SPL    
'04408'  ,  DLI DBG SPL    
'59013'  ,  BHUSAVAL PASS  
'14806'  ,  BME YPR AC EXP 
'18208'  ,  AII DURG EXP   
'14004'  ,  NDLS MLDT EXP  
'15115'  ,  LOK NAYAK EXP  
'22461'  ,  SHRI SHAKTI EXP
'04403'  ,  LKO ANVT SPL   
'12815'  ,  NANDAN KANAN EX
'12817'  ,  JHARKHAND SJ EX
'13010'  ,  DOON EXPRESS   
'22918'  ,  HW BDTS SF EXP 
'12767'  ,  NED  SRC SUP EX
'12611'  ,  NZM GARIB RATH 
'12695'  ,  TRIVANDRUM EXP 
'17616'  ,  KACHEGUDA EXP  
'15941'  ,  JHAJHA DBRG EXP
'12279'  ,  TAJ EXPRESS    
'14035'  ,  DAULADHAR EXP  
'15160'  ,  SARNATH EXPRESS
'12019'  ,  SHATABDI EXPRES
'15026'  ,  ANVT MAU EXP   
'19312'  ,  IND PUNE EXPRES
'18103'  ,  JALIANWALA B EX
'15817'  ,  DBB SHTT RR EXP
'17315'  ,  VELANKANNI EXP 
'12305'  ,  KOLKATA RJDHNI 
'16590'  ,  RANICHENNAMA EX
'19601'  ,  UDZ NJP EXP    
'11076'  ,  BIDR LTT EXP   
'12678'  ,  BANGALORE EXP  
'17316'  ,  VLNK VSG EXP   
'13415'  ,  MLDT PNBE EXPRE
'16537'  ,  NAGERCOIL  EXP 
'12391'  ,  SHRAMJEEVI EXP 
'15031'  ,  RMR CDG EXP    
'18418'  ,  RAJYA RANI EXP 
'13511'  ,  TATA ASN EXP   
'15024'  ,  YPR GKP EXP    
'11041'  ,  CSTM CHENNAI EX
'19708'  ,  ARAVALI EXPRESS
'12374'  ,  RPH SDAH INTRCT
'12270'  ,  MAS DURONTO EXP
'12642'  ,  THIRUKKURAL EXP
'52575'  ,  JOYRIDE DIESEL 
'14015'  ,  SADBHAWANA EXP 
'12375'  ,  MAS ASN EXPRESS
'22479'  ,  JSM BKN EXPRESS
'19565'  ,  UTTARANCHAL EXP
'19060'  ,  SURAT INTERCITY
'12871'  ,  ISPAT EXPRESS  
'22133'  ,  SUR YPR SUP EXP
'11052'  ,  KOP SOLAPUR EXP
'16175'  ,  KARAIKAL EXP   
'16614'  ,  RAJKOT EXPRESS 
'19046'  ,  TAPTI GANGA EXP
'12296'  ,  SANGHA MITRA EX
'12636'  ,  VAIGAI EXP     
'22655'  ,  TVC NZM EXPRESS
'18629'  ,  RNC NJP EXP    
'02779'  ,  VSG SBC LINK EX
'12397'  ,  MAHABODHI EXP  
'16340'  ,  MUMBAI EXPRESS 
'16650'  ,  PARASURAM EXP  
'11450'  ,  JAT  JBP EXPRES
'07301'  ,  TALGUPPA EXP   
'17202'  ,  GOLCONDA EXP   
'17405'  ,  KRISHNA EXPRESS
'14369'  ,  TRIBENI EXPRESS
'13020'  ,  BAGH EXPRESS   
'16344'  ,  AMRITHA EXPRESS
'13413'  ,  FARAKKA EXPRESS
'18447'  ,  HIRAKHAND EXP  
'11004'  ,  RAJYA RANI EXP 
'12458'  ,  BKN DEE S F EXP
'22893'  ,  SNSI HWH SUP EX
'22401'  ,  DEE UHP AC SUP 
'18637'  ,  HTE YPR EXP    
'12806'  ,  JANMABHOOMI EXP
'58870'  ,  JBP BTC PASS   
'13152'  ,  KOLKATA EXP    
'15227'  ,  MUZAFFARPUR EXP
'04406'  ,  NDLS LKO SPL   
'12344'  ,  DARJEELING MAIL
'16053'  ,  TIRUPATHI EXP  
'12266'  ,  DURONTO EXPRESS
'04927'  ,  BSB CDG SPECIAL
'04407'  ,  DLI SPL        
'16526'  ,  KANYAKUMARI EXP
'12943'  ,  UDYOGKARMI EXP 
'57564'  ,  NED HYB PAS    
'15639'  ,  PURI GHY EXPRES
'19419'  ,  MAS ADI EXPRESS
'14203'  ,  BSB LKO INTRCIT
'12167'  ,  LTT BSB SUP EXP
'22927'  ,  LOK SHAKTI EXP 
'01082'  ,  BSL DR T F SPL 
'17307'  ,  BASAVA EXPRESS 
'59307'  ,  INDB AII LINK E
'12927'  ,  VADODARA EXP   
'74640'  ,  SINA   BAHL    
'13154'  ,  GOUR EXP       
'16610'  ,  NAGERCOIL EXP  
'18412'  ,  INTER CITY EXP 
'10001'  ,  SATPURA EXPRESS
'19710'  ,  KYQ JP KAVIGURU
'17205'  ,  SNSI CCT EXP   
'19204'  ,  BVC BDTS EXPRES
'12986'  ,  JP DOUBLE DCKER
'17624'  ,  BKN NED EXP    
'12324'  ,  NDLS HWH EXPRES
'57273'  ,  UBL TIRUPATI PA
'18474'  ,  JU PURI EXPRESS
'12413'  ,  AII JAT EXPRESS
'12449'  ,  GOA SMPRK K EXP
'12554'  ,  VAISHALI EXP   
'24227'  ,  VARUNA EXPRESS 
'12763'  ,  PADMAVATHI EXP 
'22131'  ,  GYAN GANGA EXP 
'58832'  ,  CWA RMO NGP PAS
'12886'  ,  ARANYAK EXPRESS
'16857'  ,  MANGALORE EXP  
'12522'  ,  RAPTISAGAR EXP 
'14625'  ,  FZR INTERCITY  
'12674'  ,  CHERAN EXPRESS 
'24888'  ,  BME HW LINK EXP
'17204'  ,  CCT BVC EXPRESS
'19329'  ,  UDAIPUR CITY EX
'12981'  ,  CHETAK EXP     
'03236'  ,  DNR SBG SPL    
'12403'  ,  ALD JP EXPRESS 
'22931'  ,  BDTS JSM EXP   
'12169'  ,  SUR INTERCITY  
'22649'  ,  YERCAUD EXPRESS
'12123'  ,  DECCAN QUEEN   
'22616'  ,  TIRUPATHI EXP  
'14706'  ,  BGKT DEE EXP   
'13147'  ,  UTTAR BANGA EXP
'19411'  ,  AJMER INTERCITY
'14043'  ,  GARHWAL EXPRESS
'11077'  ,  JHELUM EXPRESS 
'22629'  ,  DADAR TEN EXP  
'12777'  ,  KOCHUVELI EXP  
'19666'  ,  UDZ KURJ EXP   
'13054'  ,  SURI HWH EXP   
'12444'  ,  ANVT HLZ S F EX
'19011'  ,  GUJARAT EXPRESS
'19047'  ,  ST BHAGALPUR EX
'12955'  ,  BCT JP EXPRESS 
'12226'  ,  KAIFIYAT EXP   
'14211'  ,  INTERCITY EXP  
'14207'  ,  PADMAVAT EXPRES
'51034'  ,  CSTM FAST PASS 
'16616'  ,  CHEMMOZHI EXP  
'12606'  ,  PALLAVAN EXP   
'12821'  ,  DHAULI EXP     
'15027'  ,  MAURYA EXP     
'12284'  ,  NZM ERS DURONTO
'12877'  ,  RNC GARIB RATH 
'12988'  ,  AII SDAH EXPRES
'13153'  ,  GOUR EXPRESS   
'12259'  ,  NDLS  DURONTO  
'22161'  ,  RAJYA RANI EXP 
'12138'  ,  PUNJAB MAIL    
'16333'  ,  VRL TVC EXPRESS
'12282'  ,  BBS DURONTO EXP
'12260'  ,  SDAH DURONTO EX
'13155'  ,  MITHILANCHAL EX
'22607'  ,  BANGALORE SF EX
'12361'  ,  ASN CSTM EXPRES
'22835'  ,  SHM PURI SF EXP
'12663'  ,  HWH TPJ EXPRESS
'16230'  ,  BSB MYS EXP    
'22691'  ,  RAJDHANI EXP   
'22487'  ,  RDP ANVT LINK E
'13246'  ,  CAPITAL EXP    
'15006'  ,  DDN GKP EXP    
'16501'  ,  ADI YPR EXPRESS
'12469'  ,  CNB JAT EXPRESS
'12495'  ,  BKN KOAA SUP EX
'12486'  ,  SGNR NED EXPRES
'12984'  ,  CDG AII G RATH 
'12865'  ,  LALMATI EXPRESS
'12145'  ,  LTT PURI SUP EX
'11013'  ,  COIMBATORE EXP 
'12963'  ,  MEWAR EXPRESS  
'22935'  ,  BDTS PIT SF EXP
'15308'  ,  NAINITAL EXP   
'22915'  ,  BDTS HSR SF EXP
'16203'  ,  TIRUPATHY EXP  
'11061'  ,  MUZAFFARPUR EXP
'22402'  ,  UHP DEE AC SUP 
'14155'  ,  CNB JAT EXP    
'12142'  ,  RJPB LTT EXP   
'56701'  ,  MADURAI PASSR  
'12349'  ,  BGP NDLS EXP   
'17057'  ,  DEVAGIRI EXP   
'16129'  ,  MS TN LINK EXP 
'22805'  ,  BBS NDLS SUP EX
'13424'  ,  AII BGP EXP    
'11020'  ,  KONARK EXPRESS 
'10111'  ,  KONKAN KANYA EX
'19714'  ,  SC JP EXP      
'16528'  ,  YESVANTPUR EXP 
'05065'  ,  CPR LJN SPL    
'11037'  ,  PA GORAKHPUR EX
'13142'  ,  TESTA TORSA EXP
'12490'  ,  DDR BIKANER EXP
'12801'  ,  PURUSHOTTAM EXP
'12805'  ,  JANMABHOOMI EXP
'51753'  ,  REWA CHRM F PAS
'15159'  ,  SARNATH EXPRESS
'54253'  ,  PYG LKO PASS   
'12940'  ,  JP PUNE SF EXP 
'57550'  ,  HYDERABAD PASS 
'23346'  ,  SKTN BSB INTER 
'52453'  ,  KALKA SIMLA EXP
'12942'  ,  PARASNATH EXP  
'15049'  ,  KOAA  GKP  EXP 
'12014'  ,  AMRITSAR SHTBDI
'22641'  ,  SHALIMAR EXP   
'12613'  ,  TIPPU EXPRESS  
'11062'  ,  MFP LTT EXPRESS
'12646'  ,  ERS MILLENUM EX
'12854'  ,  AMARKANTAK EXP 
'17234'  ,  BHAGYANAGAR EXP
'11306'  ,  SOLAPUR CSTM EX
'22812'  ,  BUBNESWR RJDHNI
'12534'  ,  PUSHPAK EXPRESS
'22620'  ,  TEN BILASPUR EX
'12018'  ,  DEHRADUN SHTBDI
'17058'  ,  DEVAGIRI EXP   
'12011'  ,  KALKA SHTBDI   
'17622'  ,  RU AWB EXPRESS 
'01420'  ,  PAU KOP SPL    
'12021'  ,  BBN JANSHATABDI
'11703'  ,  REWA INDB EXP  
'18515'  ,  TATA VSKP EXP  
'13160'  ,  JBN KOLKATA EXP
'18507'  ,  VSKP ASR HKG EX
'12950'  ,  PBR KAVIGURU EX
'04414'  ,  SVDK DEE SPL   
'14312'  ,  ALA HAZRAT EXP 
'11101'  ,  PUNE GWALIOR EX
'14502'  ,  JAT BTI EXP    
'13052'  ,  HOOL EXPRESS   
'14041'  ,  MUSSOORIE EXP  
'07323'  ,  MAS HUBLI EXP  
'52454'  ,  SML KLK EXPRESS
'13348'  ,  PALAMOU EXP    
'12013'  ,  AMRITSAR SHTBDI
'12835'  ,  HTE YPR EXPRESS
'16350'  ,  RAJYA RANI EXP 
'12724'  ,  A P EXPRESS    
'19222'  ,  SOMNATH EXPRESS
'19309'  ,  GNC INDORE EXP 
'22455'  ,  SNSI KLK SUP EX
'15708'  ,  ASR KIR EXPRESS
'12342'  ,  AGNIBINA EXPRES
'59393'  ,  DHD HBJ FAST PA
'16502'  ,  AHMADABAD EXP  
'01714'  ,  HBJ CSTM SUP SP
'12721'  ,  NIZAMUDDIN EXP 
'18504'  ,  SNSI VSKP EXP  
'12840'  ,  HOWRAH MAIL    
'12558'  ,  SAPT KRANTI EXP
'22112'  ,  NGP BSL SUP EXP
'11025'  ,  BSL PUNE EXP   
'22351'  ,  PPTA YPR EXP   
'12549'  ,  DURG JAT SF EXP
'12694'  ,  PEARL CITY EXP 
'11059'  ,  CHHAPRA EXPRESS
'12467'  ,  LEELAN EXP     
'02111'  ,  LTT LKO AC SPL 
'12057'  ,  UHL JANSHATABDI
'17318'  ,  LTT HUBLI EXP  
'12055'  ,  DDN JANSHTBDI  
'12995'  ,  BDTS AII UDZ EX
'15025'  ,  MAU ANVT EXPRES
'12811'  ,  HATIA EXPRESS  
'12952'  ,  MUMBAI RAJDHANI
'07704'  ,  PUSHKARAM SPL  
'17063'  ,  AJANTA EXPRESS 
'05968'  ,  DBRG RNY SPECIA
'12725'  ,  INTERCITY EXP  
'12511'  ,  RAPTI SAGAR EXP
'11471'  ,  INDB JBP EXP   
'18002'  ,  KANDARI EXPRESS
'22866'  ,  PURI LTT SF EXP
'22113'  ,  LTT KCVL EXPRES
'12073'  ,  BBS JAN SHATABD
'12723'  ,  A P EXP        
'13165'  ,  KOAA SMI EXPRES
'11043'  ,  MADURAI EXPRESS
'12298'  ,  ADI DURONTO EXP
'12883'  ,  RUPASIBANGLA EX
'16236'  ,  TUTICORIN EXP  
'24369'  ,  TRIBENI EXPRESS
'22206'  ,  MAS DURONTO EXP
'07707'  ,  PUSHKARAM SPL  
'12222'  ,  HWH PUNE DURONT
'12376'  ,  ASN MAS EXPRESS
'15652'  ,  LOHIT EXPRESS  
'14116'  ,  HW ALD EXP     
'12360'  ,  KOL GARIB RATH 
'12178'  ,  CHAMBAL EXPRESS
'12514'  ,  GHY SC EXPRESS 
'12859'  ,  GITANJALI EXP  
'12936'  ,  SURAT BDTS EXP 
'13187'  ,  SDAH RPH EXP   
'14164'  ,  SANGAM EXP     
'12309'  ,  RJPB RAJDHANI  
'12267'  ,  ADI DURONTO EXP
'12620'  ,  MATSYAGANDA EXP
'15047'  ,  PURBANCHAL EXP 
'12696'  ,  TVC CHENNAI EXP
'14163'  ,  SANGAM EXPRESS 
'56904'  ,  DWR SUR PASSENG
'12365'  ,  RNC JANSHATABDI
'12154'  ,  HBJ LTT SUP EXP
'04924'  ,  NLDM LKO SF SPL
'58840'  ,  JBP NIR NGP PAS
'14216'  ,  GANGA GOMTI EXP
'12002'  ,  BHOPAL SHTBDI  
'11106'  ,  PRATHAM S SNGRM
'12404'  ,  JP  ALD EXPRESS
'17006'  ,  DBG HYB EXPRESS
'15631'  ,  BME GHY EXPRESS
'12816'  ,  NANDAN KANAN EX
'17402'  ,  MTM TPTY EXP   
'12487'  ,  SEEMANCHAL EXP 
'22480'  ,  BKN JSM EXPRESS
'15720'  ,  INTERCITY      
'15818'  ,  SHTT DBB RR EXP
'14866'  ,  MARUDHAR EXPRES
'22352'  ,  PATLIPUTRAEXP  
'19421'  ,  ADI PNBE EXPRES
'16534'  ,  SBC JODHPUR EXP
'19566'  ,  UTTARANCHAL EXP
'14313'  ,  BAREILLY EXP   
'18108'  ,  KRPU ROU EXPRES
'12647'  ,  KONGU EXPRESS  
'14526'  ,  UMB INTERCITY  
'22483'  ,  JU GIMB SF EXP 
'15030'  ,  PUNE GKP EXPRES
'12101'  ,  JNANESWARI DELX
'17688'  ,  MARATHWADA EXP 
'14218'  ,  UNCHAHAR EXP   
'12417'  ,  PRAYAG RAJ EXP 
'12701'  ,  HUSAINSAGAR EXP
'19614'  ,  ASR AII EXP    
'12459'  ,  NDLSASR EXPRESS
'12629'  ,  SAMPARK KRANTI 
'13508'  ,  GKP ASN EXPRESS
'11454'  ,  PRERANA EXPRESS
'11015'  ,  KUSHINAGAR EXP 
'13429'  ,  MLDT ANVT EXP  
'22814'  ,  PRDP SRC SF EXP
'12070'  ,  JANSHATABDI EXP
'16176'  ,  CHENNAI EXP    
'16126'  ,  JU MS EXPRESS  
'12618'  ,  MNGLA LKSDP EXP
'11204'  ,  JP NGP EXP     
'12112'  ,  AMRAVATI CSTM E
'12567'  ,  RAJYA RANI EXP 
'22910'  ,  PURI VALSAD EXP
'12994'  ,  PURI GIMB  EXP 
'11024'  ,  SAHYADRI EXP   
'12144'  ,  SLN LTT SF     
'12189'  ,  MAHAKAUSHAL EXP
'12320'  ,  AGC KOAA EXP   
'14018'  ,  SADBHAVNA EXP  
'16531'  ,  SBC GARIB NAWAJ
'12739'  ,  VSKP GARIB RATH
'18496'  ,  BBS RMM EXPRESS
'15205'  ,  CHITRAKUT  EXP 
'12015'  ,  AJMER SHTBDI   
'01402'  ,  NGP SUR T F SPL
'12880'  ,  BBS LTT SF EXP 
'22652'  ,  PALANI MAS EXP 
'06066'  ,  CHENNAI EXP    
'12954'  ,  AG KRANTI RJDHN
'22101'  ,  RAJYA RANI EXP 
'14219'  ,  BSB LKO EXP    
'19301'  ,  YESHVANTPUR EXP
'09808'  ,  NZM KOTA SF SPL
'14017'  ,  SADBHAVNA EXP  
'22695'  ,  YPR JP PREMIUM 
'12235'  ,  DBRG NDLS RAJEX
'22803'  ,  HWH SBP SUP EXP
'19018'  ,  SAU JANATA EXP 
'18518'  ,  VSKP KRBA EXPRE
'13402'  ,  INTERCITY  EXP 
'13282'  ,  RJPB NTSK EXP  
'14236'  ,  BE BSB EXPRESS 
'17208'  ,  BZA SNSI EXP   
'22653'  ,  NIZAMUDDIN  EXP
'14888'  ,  BARMER  KLK EXP
'12676'  ,  KOVAI EXP      
'19417'  ,  ADI ALD EXPRESS
'17032'  ,  MUMBAI EXP     
'19569'  ,  OKHA BSB EXPRES
'12934'  ,  KARNAVATI EXP  
'12033'  ,  CNB NDLS SHT   
'19574'  ,  JP OKHA EXP    
'16205'  ,  MYSORE EXPRESS 
'12783'  ,  VSKP SC AC EXP 
'19325'  ,  IND AMRITSAR EX
'12553'  ,  VAISHALI EXP   
'22464'  ,  RJSTHN S KRNTI 
'11704'  ,  REWA EXPRESS   
'22857'  ,  SRC ANVT SF EXP
'16593'  ,  NED SBC EXP    
'17321'  ,  UBL LTT EXP    
'12639'  ,  BRINDAVAN EXP  
'19029'  ,  BDTS DEE EXPRES
'12737'  ,  GOUTAMI EXP    
'19576'  ,  NDT OKHA EXP   
'22477'  ,  JU JP SF EXP   
'22639'  ,  ALLEPPEY EXP   
'12614'  ,  TIPPU EXPRESS  
'19802'  ,  INTERCITY EXP  
'13332'  ,  PNBE DHN EXPRES
'17016'  ,  VISAKHA EXP    
'28242'  ,  CHRM DURG PAS E
'57258'  ,  TIRUPATI PSGR  
'12623'  ,  TRIVANDRUM MAIL
'22647'  ,  KRBA TVC EXPRES
'16863'  ,  BGKT MQ EXPRESS
'17320'  ,  SC  UBL EXP    
'11063'  ,  MS SALEM EXP   
'13414'  ,  FARKKA EXPRESS 
'12227'  ,  INDORE DURONTO 
'12067'  ,  JAN SHATABDI EX
'12354'  ,  LKU HWH EXP    
'16316'  ,  BANGALORE EXP  
'13018'  ,  GANADEVTA EXP  
'12771'  ,  SC NGP SUP EXP 
'12379'  ,  JALIANWALAB EXP
'12666'  ,  CAPE HOWRAH EXP
'12845'  ,  BBS YPR SUP EXP
'12432'  ,  TRIVNDRM RJDHNI
'12147'  ,  NIZAMUDDIN EXP 
'58530'  ,  VSKP DURG PAS  
'15905'  ,  DBRG  VIVEK EXP
'22916'  ,  HSR BDTS S F EX
'12257'  ,  KOCHUVELI GR   
'14213'  ,  BSB GD INTERCIT
'12652'  ,  T N SMPRK KRNTI
'14606'  ,  GARIB RATH EXP 
'11078'  ,  JHELUM EXPRESS 
'12660'  ,  GURUDEV EXPRESS
'52457'  ,  KLK SML PASS   
'12355'  ,  ARCHNA EXPRESS 
'11019'  ,  KONARK EXPRESS 
'11040'  ,  MAHARASHTRA EXP
'12176'  ,  CHAMBAL EXPRESS
'13255'  ,  PPTA CDG EXP   
'12278'  ,  SATABDI EXPRESS
'13132'  ,  ANVT KOAA EXP  
'12420'  ,  GOMTI EXPRESS  
'57306'  ,  GNT KCG  PASS  
'15032'  ,  CDG RMR  EXP   
'19718'  ,  CDG JP INTERCIT
'18104'  ,  JALIANWALA B EX
'22638'  ,  WEST COAST EXP 
'11110'  ,  LJN JHS INT EXP
'19804'  ,  JAT KOTA EXP   
'19453'  ,  GIMB PURI EXP  
'18312'  ,  BSB SBP EXPRESS
'22656'  ,  NZM TVC SF EXP 
'12769'  ,  SEVEN HILLS EXP
'52588'  ,  DJ KGN NG TRAIN
'12455'  ,  DEE BKN SF EXP 
'18426'  ,  DURG PURI EXP  
'22901'  ,  UDZ SUPER FAST 
'12063'  ,  HW UHL LINK JSH
'12679'  ,  COIMBATORE EXP 
'12869'  ,  HOWRAH SUP EXP 
'22149'  ,  ERS PUNE EXPRES
'14311'  ,  ALA HAZRAT EXP 
'22858'  ,  ANVT SRC SF EXP
'11205'  ,  LTT NZB EXPRESS
